deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,total_liquidated_collateral_usd,total_liquidated_principal_usd,avg_time_gap,min_time_gap,burst_count,total_transactions,total_deposit_usd,total_borrow_usd,total_repay_usd,total_redeem_usd,total_liquidatcall_usd,is_risky_actual,ML_score_0_1000,score_range
27,20,18,26,0,0.0,0.0,17798382.527472526,22,70,91,3.4360823275372017e+22,2.5017224264235226e+22,2.5130542777750006e+22,3.4441156605827996e+22,0.0,1,20,"[0, 100)"
3,2,2,0,0,0.0,0.0,232144604.0,102,1,7,4.5684819135328e+20,114758854.02788797,115452416.64960286,0.0,0.0,0,860,"[800, 900)"
1,0,0,1,0,0.0,0.0,814442431.5,10,1,2,10985023581.862051,0.0,0.0,10985023681.999004,0.0,0,1000,
2,0,0,0,0,0.0,0.0,813424840.5,685641,0,2,1.1112116162333286e+18,0.0,0.0,0.0,0.0,0,1000,
1,1,0,0,0,0.0,0.0,810453721.5,0,1,2,2.1581342180653396e+16,4996746535570412.0,0.0,0.0,0.0,1,0,"[0, 100)"
18,17,14,14,0,0.0,0.0,25814859.095238097,14,33,63,1.757310103095401e+21,8.95513610193347e+20,3.7135349673024265e+20,10530096850.629354,0.0,1,40,"[0, 100)"
1,1,1,3,0,0.0,0.0,270997294.3333333,220,0,6,4.474119381076986e+20,224887327.95236206,223231787.4085076,15307875544.375942,0.0,0,940,"[900, 1000)"
2,0,0,0,0,0.0,0.0,813381740.0,481591,0,2,2190112.2540111654,0.0,0.0,0.0,0.0,0,1000,
1,1,0,0,0,0.0,0.0,815198473.0,209,0,2,2.741759361949003e+21,518312732.4254524,0.0,0.0,0.0,1,0,"[0, 100)"
35,28,24,21,0,0.0,0.0,15097631.472222222,0,42,108,2.097160329467312e+23,1.632230203448675e+23,1.3275528421680064e+23,1.5093375180135423e+23,0.0,1,0,"[0, 100)"
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1107676.6161975926,0.0,0.0,0.0,0.0,0,1000,
1,0,0,1,0,0.0,0.0,811223574.5,32,1,2,1304574981.771727,0.0,0.0,1304575003.84915,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1102917.7047604278,0.0,0.0,0.0,0.0,0,1000,
16,16,19,23,0,0.0,0.0,21951220.635135137,22,22,74,2.6221118817435744e+22,9.512138087719636e+21,9.54548874281154e+21,5.812248231307225e+22,0.0,1,50,"[0, 100)"
1,1,1,1,0,0.0,0.0,404598032.25,20,3,4,1.0266354840479659e+20,2.864633092120786e+19,2.864633092120786e+19,1.027976877774482e+20,0.0,0,1000,
2,0,0,0,0,0.0,0.0,813557694.5,628938,0,2,2.2261297272924237e+18,0.0,0.0,0.0,0.0,0,1000,
15,13,7,8,0,0.0,0.0,37816684.02325582,14,37,43,4.908771665295786e+17,766128748.2225349,766546937.4172786,969072476.6524136,0.0,1,130,"[100, 200)"
9,3,2,3,0,0.0,0.0,95531904.94117647,44,3,17,5.994902061143643e+19,1.5803749961565463e+19,15761789.917098343,17003678.86466033,0.0,1,320,"[300, 400)"
